港澳台,#genre#
博斯运动Ⅱ,http://61.221.81.93:8088/hls/61/803/ch04.m3u8
卫视中文,http://61.221.81.93:8088/hls/62/804/ch05.m3u8
卫视电影,http://61.221.81.93:8088/hls/62/804/ch07.m3u8
东森综合,http://61.221.81.93:8088/hls/63/805/ch12.m3u8
正德,http://61.221.81.93:8088/hls/64/806/ch16.m3u8
三立台湾,http://61.221.81.93:8088/hls/65/807/ch20.m3u8
八大综合,http://61.221.81.93:8088/hls/66/808/ch21.m3u8
壹新闻,http://61.221.81.93:8088/hls/66/808/ch24.m3u8
中天综合,http://61.221.81.93:8088/hls/67/809/ch25.m3u8
来纬体育,http://61.221.81.93:8088/hls/67/809/ch28.m3u8
来纬育乐,http://61.221.81.93:8088/hls/68/810/ch30.m3u8
东风37,http://61.221.81.93:8088/hls/68/810/ch31.m3u8
来纬综合,http://61.221.81.93:8088/hls/68/810/ch32.m3u8
来纬戏剧,http://61.221.81.93:8088/hls/69/811/ch33.m3u8
来纬日本,http://61.221.81.93:8088/hls/69/811/ch34.m3u8
来纬电影,http://61.221.81.93:8088/hls/69/811/ch35.m3u8
动物星球,http://61.221.81.93:8088/hls/70/812/ch37.m3u8
中视,http://61.221.81.93:8088/hls/72/814/ch47.m3u8
华视,http://61.221.81.93:8088/hls/72/814/ch48.m3u8
民视,http://61.221.81.93:8088/hls/73/815/ch49.m3u8
公视,http://61.221.81.93:8088/hls/73/815/ch50.m3u8
大爱,http://61.221.81.93:8088/hls/73/815/ch52.m3u8
GOODTV好消息,http://61.221.81.93:8088/hls/74/816/ch53.m3u8
JET综合,http://61.221.81.93:8088/hls/74/816/ch54.m3u8
好莱坞电影,http://61.221.81.93:8088/hls/74/816/ch55.m3u8
非凡新闻,http://61.221.81.93:8088/hls/75/817/ch57.m3u8
寰宇新闻,http://61.221.81.93:8088/hls/76/818/ch62.m3u8
东森洋片,http://120.84.96.32:808/hls/33/index.m3u8
东森洋片,http://zb.688768.xyz/jiudian/jddb.php?playurl=http://120.84.96.222:808/hls/33/index.m3u8
东森洋片,http://120.84.96.20:808/hls/33/index.m3u8
东森洋片台,http://120.84.96.29:808/hls/33/index.m3u8
东森洋片台,http://120.84.96.30:808/hls/33/index.m3u8
东森洋片台,http://120.84.96.31:808/hls/33/index.m3u8
东森洋片台,http://120.84.96.33:808/hls/33/index.m3u8
东森洋片台,http://120.84.96.42:808/hls/33/index.m3u8
东森洋片台,http://120.84.96.43:808/hls/33/index.m3u8
东森洋片台,http://120.84.96.46:808/hls/33/index.m3u8
东森电影,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
东森电影,,http://120.84.96.20:808/hls/32/index.m3u8
东森电影,http://120.84.96.29:808/hls/32/index.m3u8
东森电影,http://120.84.96.30:808/hls/32/index.m3u8
东森电影,http://120.84.96.31:808/hls/32/index.m3u8
东森电影,http://120.84.96.32:808/hls/32/index.m3u8
